Climatelab code,Lat,Long,Start,End,Equipment,Type,Shelter
6728-1-MX-0,-16.4181,126.1025,13 Aug 2001,25 Nov 2013,MiG (Max),Dobbie (M0447),
6728-1-MX-1,-16.4181,126.1025,25 Nov 2013,02 Dec 2015,MiG (Max),WIKA (32824),
6728-1-MX-2,-16.4181,126.1025,02 Dec 2015,28 May 2018,MiG (Max),WIKA (32831),
6728-1-MX-3,-16.4181,126.1025,28 May 2018,Still active*,MiG (Max),Dobbie (15414),

6728-0-DX-0,-16.4181,126.1031,30 Oct 1993,23 Jun 1999,DB: MiG,Dobbie (CBM1270),
6728-0-DX-1,-16.4181,126.1031,23 Jun 1999,13 Aug 2001,DB: MiG,Dobbie (15965),
6728-1-DX-0,-16.4181,126.1025,13 Aug 2001,15 Oct 2012,DB: MiG,Dobbie (15965),
6728-1-DX-1,-16.4181,126.1025,15 Oct 2012,Still active*,DB: MiG,Unknown (CBM5859),

001019: Kalumburu,-14.2964,126.6453,Sep 1998,May 2019
6740-6-PS-0,-14.2972,126.6436,16 Sep 1998,04 Jul 2000,Probe,Rosemount (0321),Small Stevenson
6740-6-PS-1,-14.2972,126.6436,04 Jul 2000,10 Aug 2001,Probe,Rosemount (0174),Small Stevenson
6740-7-PS-0,-14.2961,126.6453,10 Aug 2001,07 Sep 2002,Probe,Rosemount (509),Small Stevenson
6740-8-PS-0,-14.2964,126.6453,07 Sep 2002,Still active*,Probe,Rosemount (509),Small Stevenson

001020: Truscott,-14.0900,126.3867,May 2004,May 2019
6740-9-PX-0,-14.0917,126.3853,01 May 2004,13 May 2004,Probe,Rosemount ST2401 (0375),
6740-10-PX-0,-14.09,126.3867,13 May 2004,Still active*,Probe,Rosemount ST2401 (0375),

001021: Kalumburu Mission,-14.2961,126.6431,Sep 1941,Mar 2005
6740-11-AX-0,-14.2972,126.6417,25 Aug 1941,21 Aug 2001,AiG (Min),Dobbie (17035),
6740-11-AX-1,-14.2972,126.6417,21 Aug 2001,20 Jun 2002,AiG (Min),Dobbie (21842),
6740-11-AX-2,-14.2972,126.6417,20 Jun 2002,08 Jan 2003,AiG (Min),Dobbie (20650),
6740-11-AX-3,-14.2972,126.6417,08 Jan 2003,02 Aug 2003,AiG (Min),Dobbie (17035),
6740-12-AX-0,2.0,2.0,02 Aug 2003,26 Mar 2005,AiG (Min),Dobbie (17035),

6740-11-MX-0,-14.2972,126.6417,25 Aug 1941,14 Dec 1999,MiG (Max),Dobbie (M0552),
6740-11-MX-1,-14.2972,126.6417,14 Dec 1999,02 Aug 2003,MiG (Max),Dobbie (17176),
6740-12-MX-0,2.0,2.0,02 Aug 2003,26 Mar 2005,MiG (Max),Dobbie (17176),

6740-11-DX-0,-14.2972,126.6417,25 Aug 1941,02 Aug 2003,DB: MiG,Dobbie (CBM3682),
6740-12-DX-0,2.0,2.0,02 Aug 2003,26 Mar 2005,DB: MiG,WIKA (23043),

001025: Doongan,-15.3797,126.3114,Aug 1988,May 2019
6740-13-AX-0,-15.3806,126.3108,03 Aug 1988,27 Aug 1991,AiG (Min),Dobbie (Unknown),
6740-13-AX-1,-15.3806,126.3108,27 Aug 1991,22 Nov 1993,AiG (Min),Dobbie (Unknown),
6740-13-AX-2,-15.3806,126.3108,22 Nov 1993,07 Mar 2000,AiG (Min),Dobbie (M0262),
6740-13-AX-3,-15.3806,126.3108,07 Mar 2000,09 Sep 2002,AiG (Min),Dobbie (18978),
6740-14-AX-0,-15.3797,126.3114,09 Sep 2002,04 Jan 2005,AiG (Min),Dobbie (18978),
6740-14-AX-1,-15.3797,126.3114,04 Jan 2005,12 Mar 2007,AiG (Min),Dobbie (20462),
6740-14-AX-2,-15.3797,126.3114,12 Mar 2007,10 Mar 2010,AiG (Min),Dobbie (23317),
6740-14-AX-3,-15.3797,126.3114,10 Mar 2010,Still active*,AiG (Min),WIKA (31257),

6740-13-MX-0,-15.3806,126.3108,03 Aug 1988,03 Apr 1989,MiG (Max),Dobbie (Unknown),
6740-13-MX-1,-15.3806,126.3108,03 Apr 1989,09 Feb 1990,MiG (Max),Dobbie (Unknown),
6740-13-MX-2,-15.3806,126.3108,09 Feb 1990,21 Aug 1991,MiG (Max),Dobbie (Unknown),
6740-13-MX-3,-15.3806,126.3108,21 Aug 1991,09 Sep 2002,MiG (Max),Dobbie (CBM4797),
6740-14-MX-0,-15.3797,126.3114,09 Sep 2002,12 Dec 2002,MiG (Max),WIKA (24212),
6740-14-MX-1,-15.3797,126.3114,12 Dec 2002,11 Mar 2004,MiG (Max),Dobbie (CBM3194),
6740-14-MX-2,-15.3797,126.3114,11 Mar 2004,21 Feb 2007,MiG (Max),WIKA (24205),
6740-14-MX-3,-15.3797,126.3114,21 Feb 2007,29 Jun 2007,MiG (Max),WIKA (27725),
6740-14-MX-4,-15.3797,126.3114,29 Jun 2007,17 Aug 2009,MiG (Max),WIKA (27729),
6740-14-MX-5,-15.3797,126.3114,17 Aug 2009,17 Mar 2010,MiG (Max),WIKA (30305),
6740-14-MX-6,-15.3797,126.3114,17 Mar 2010,20 Jun 2012,MiG (Max),WIKA (31329),
6740-14-MX-7,-15.3797,126.3114,20 Jun 2012,Still active*,MiG (Max),WIKA (32136),

6740-13-DX-0,-15.3806,126.3108,03 Aug 1988,09 Sep 2002,DB: MiG,Dobbie (CBM5145),
6740-14-DX-0,-15.3797,126.3114,09 Sep 2002,Still active*,DB: MiG,Dobbie (CBM5145),

002011: Old Halls Creek,-18.2519,127.7817,Jan 1898,Mar 1969
NO METADATA AVAILABLE

002012: Halls Creek Meteorological Office,-18.2291,127.6636,Jan 1944,Dec 2018
6770-0-AL-0,-18.2303,127.6625,01 Jan 1944,14 Jun 1993,AiG (Min),Unknown (Unknown),Large Stevenson
6770-0-AL-1,-18.2303,127.6625,14 Jun 1993,11 Aug 1995,AiG (Min),Unknown (Unknown),Large Stevenson
6770-0-AL-2,-18.2303,127.6625,11 Aug 1995,25 Aug 1996,AiG (Min),Dobbie (M0070),Large Stevenson
6770-0-AS-0,-18.2303,127.6625,03 Jan 2002,01 Sep 2002,AiG (Min),Dobbie (M1525),Small Stevenson
6770-1-AS-0,-18.2292,127.6636,01 Sep 2002,31 Jan 2008,AiG (Min),Dobbie (M1525),Small Stevenson
6770-1-AS-1,-18.2292,127.6636,31 Jan 2008,01 Feb 2008,AiG (Min),Dobbie (43086),Small Stevenson
6770-1-AS-2,-18.2292,127.6636,01 Feb 2008,19 Jun 2018,AiG (Min),WIKA (27610),Small Stevenson
6770-2-AS-0,-18.22914,127.66359,19 Jun 2018,Unclear,AiG (Min),WIKA (27610),Small Stevenson
6770-1-AS-0,-18.2292,127.6636,16 Apr 2008,24 Aug 2008,AiG (Min),WIKA (29032),Small Stevenson
6770-1-AS-1,-18.2292,127.6636,24 Aug 2008,19 Jun 2018,AiG (Min),Dobbie (M1525),Small Stevenson
6770-2-AS-0,-18.22914,127.66359,19 Jun 2018,Unclear,AiG (Min),Dobbie (M1525),Small Stevenson
6770-1-AS-0,-18.2292,127.6636,24 Nov 2008,16 Aug 2009,AiG (Min),Unknown (29041),Small Stevenson
6770-1-AS-1,-18.2292,127.6636,31 Jan 2012,08 May 2012,AiG (Min),Dobbie (13281),Small Stevenson
6770-1-AS-2,-18.2292,127.6636,08 May 2012,28 Aug 2012,AiG (Min),Unknown (29041),Small Stevenson
6770-1-AS-3,-18.2292,127.6636,28 Aug 2012,28 May 2015,AiG (Min),Dobbie (M1525),Small Stevenson
6770-1-AS-4,-18.2292,127.6636,28 May 2015,02 May 2016,AiG (Min),WIKA (32897),Small Stevenson

6770-0-ML-0,-18.2303,127.6625,01 Jan 1944,14 Jun 1993,MiG (Max),Unknown (Unknown),Large Stevenson
6770-0-ML-1,-18.2303,127.6625,14 Jun 1993,11 Aug 1995,MiG (Max),Unknown (Unknown),Large Stevenson
6770-0-ML-2,-18.2303,127.6625,11 Aug 1995,25 Aug 1996,MiG (Max),Dobbie (M0428),Large Stevenson
6770-0-MS-0,-18.2303,127.6625,03 Jan 2002,01 Sep 2002,MiG (Max),Dobbie (13418),Small Stevenson
6770-1-MS-0,-18.2292,127.6636,01 Sep 2002,16 Nov 2005,MiG (Max),Dobbie (CBM4360),Small Stevenson
6770-1-MS-1,-18.2292,127.6636,16 Nov 2005,05 Jul 2012,MiG (Max),Dobbie (17370),Small Stevenson
6770-1-MS-2,-18.2292,127.6636,05 Jul 2012,11 Nov 2014,MiG (Max),Dobbie (13418),Small Stevenson
6770-1-MS-3,-18.2292,127.6636,11 Nov 2014,02 May 2016,MiG (Max),Dobbie (20881),Small Stevenson

6770-0-PS-0,-18.2303,127.6625,25 Aug 1996,01 Sep 2002,Probe,Rosemount (118),Small Stevenson
6770-1-PS-0,-18.2292,127.6636,01 Sep 2002,19 Jun 2018,Probe,Rosemount (118),Small Stevenson
6770-2-PS-0,-18.22914,127.66359,19 Jun 2018,09 Jan 2019,Probe,Rosemount (118),Small Stevenson

6770-0-TL-0,-18.2303,127.6625,01 Nov 1966,14 Jun 1993,Thermograph,Weekly (Unknown),Large Stevenson
6770-0-TL-1,-18.2303,127.6625,14 Jun 1993,05 Mar 1996,Thermograph,Weekly (Unknown),Large Stevenson

6770-0-DL-0,-18.2303,127.6625,01 Jan 1944,14 Jun 1993,DB: MiG,Unknown (Unknown),Large Stevenson
6770-0-DL-1,-18.2303,127.6625,14 Jun 1993,11 Aug 1995,DB: MiG,Unknown (Unknown),Large Stevenson
6770-0-DL-2,-18.2303,127.6625,11 Aug 1995,25 Aug 1996,DB: MiG,Dobbie (M0829),Large Stevenson
6770-0-DS-0,-18.2303,127.6625,22 Jul 1999,11 Jul 2000,DB: MiG,Dobbie (12593),Small Stevenson
6770-0-DS-1,-18.2303,127.6625,11 Jul 2000,01 Sep 2002,DB: MiG,Dobbie (16887),Small Stevenson
6770-1-DS-0,-18.2292,127.6636,01 Sep 2002,09 Oct 2012,DB: MiG,Dobbie (16887),Small Stevenson
6770-1-DS-1,-18.2292,127.6636,09 Oct 2012,13 Jan 2017,DB: MiG,Dobbie (15863),Small Stevenson

002014: Kimberley Res.Station,-15.6545,128.7091,Jun 1944,Aug 2010
6740-15-AX-0,-15.6558,128.7075,01 Jun 1944,17 Jul 1999,AiG (Min),Dobbie (12737),
6740-16-AX-0,-15.6547,128.7092,17 Jul 1999,21 Jul 2001,AiG (Min),Dobbie (12737),
6740-16-AX-1,-15.6547,128.7092,21 Jul 2001,05 Sep 2002,AiG (Min),Dobbie (M3830),
6740-16-AX-2,-15.6547,128.7092,05 Sep 2002,01 Sep 2010,AiG (Min),Dobbie (M3830),

6740-15-MX-0,-15.6558,128.7075,01 Jun 1944,17 Jul 1999,MiG (Max),Dobbie (M2470),
6740-16-MX-0,-15.6547,128.7092,17 Jul 1999,05 Sep 2002,MiG (Max),Dobbie (M2470),
6740-16-MX-1,-15.6547,128.7092,05 Sep 2002,28 May 2004,MiG (Max),Dobbie (M2470),
6740-16-MX-2,-15.6547,128.7092,28 May 2004,31 Jan 2007,MiG (Max),Dobbie (24212),
6740-16-MX-3,-15.6547,128.7092,31 Jan 2007,01 Sep 2010,MiG (Max),WIKA (27754),

6740-15-DX-0,-15.6558,128.7075,01 Jun 1944,17 Jul 1999,DB: MiG,Dobbie (CBM1173),
6740-16-DX-0,-15.6547,128.7092,17 Jul 1999,13 Dec 1999,DB: MiG,Dobbie (15863),
6740-16-DX-1,-15.6547,128.7092,13 Dec 1999,05 Sep 2002,DB: MiG,Dobbie (19107),
6740-16-DX-2,-15.6547,128.7092,05 Sep 2002,01 Sep 2010,DB: MiG,Dobbie (19107),

002032: Warmun,-17.0154,128.2174,Jan 1962,May 2019
6743-0-AX-0,-17.0164,128.2164,08 Jul 1960,14 Jul 1997,AiG (Min),Unknown (Unknown),
6743-1-AX-0,-17.0153,128.2172,14 Jul 1997,10 Feb 1998,AiG (Min),Unknown (Unknown),
6743-1-AX-1,-17.0153,128.2172,10 Feb 1998,14 Jul 1999,AiG (Min),Dobbie (15689),
6743-1-AX-2,-17.0153,128.2172,14 Jul 1999,30 Dec 1999,AiG (Min),Dobbie (17298),
6743-1-AX-3,-17.0153,128.2172,30 Dec 1999,20 Jul 2001,AiG (Min),Dobbie (18983),
6743-2-AX-0,-17.0156,128.2175,20 Jul 2001,03 Sep 2002,AiG (Min),Dobbie (18983),
6743-2-AX-1,-17.0156,128.2175,03 Sep 2002,28 Jan 2004,AiG (Min),Dobbie (18983),
6743-2-AX-2,-17.0156,128.2175,28 Jan 2004,02 Jul 2004,AiG (Min),Dobbie (23241),
6743-2-AX-3,-17.0156,128.2175,02 Jul 2004,09 Sep 2004,AiG (Min),Dobbie (CBM4955),
6743-2-AX-4,-17.0156,128.2175,09 Sep 2004,25 Sep 2004,AiG (Min),Dobbie (23241),
6743-2-AX-5,-17.0156,128.2175,25 Sep 2004,03 Mar 2005,AiG (Min),Dobbie (CBM4955),
6743-2-AX-6,-17.0156,128.2175,03 Mar 2005,21 Mar 2005,AiG (Min),Dobbie (Unknown),
6743-2-AX-7,-17.0156,128.2175,21 Mar 2005,12 Feb 2009,AiG (Min),Dobbie (25897),
6743-2-AX-8,-17.0156,128.2175,12 Feb 2009,19 Sep 2012,AiG (Min),WIKA (31278),
6743-2-AX-9,-17.0156,128.2175,19 Sep 2012,21 Mar 2017,AiG (Min),WIKA (32881),
6743-2-AX-10,-17.0156,128.2175,21 Mar 2017,12 Jul 2017,AiG (Min),Dobbie (M6517),
6743-3-AX-0,-17.01542,128.21744,12 Jul 2017,20 Jun 2018,AiG (Min),Dobbie (M6517),
6743-3-AX-1,-17.01542,128.21744,20 Jun 2018,Still active*,AiG (Min),WIKA (32881),

6743-0-MX-0,-17.0164,128.2164,08 Jul 1960,14 Jul 1997,MiG (Max),Dobbie (15528),
6743-1-MX-0,-17.0153,128.2172,14 Jul 1997,14 Jul 1999,MiG (Max),Dobbie (15528),
6743-1-MX-1,-17.0153,128.2172,14 Jul 1999,20 Jul 2001,MiG (Max),Dobbie (17389),
6743-2-MX-0,-17.0156,128.2175,20 Jul 2001,29 Aug 2001,MiG (Max),Dobbie (17389),
6743-2-MX-1,-17.0156,128.2175,29 Aug 2001,03 Sep 2002,MiG (Max),Dobbie (20551),
6743-2-MX-2,-17.0156,128.2175,03 Sep 2002,09 Dec 2004,MiG (Max),Dobbie (14727),
6743-2-MX-3,-17.0156,128.2175,09 Dec 2004,07 Feb 2006,MiG (Max),Unknown (20551),
6743-2-MX-4,-17.0156,128.2175,07 Feb 2006,13 Oct 2006,MiG (Max),WIKA (44408),
6743-2-MX-5,-17.0156,128.2175,13 Oct 2006,14 Jul 2010,MiG (Max),Dobbie (21995),
6743-2-MX-6,-17.0156,128.2175,14 Jul 2010,15 Nov 2010,MiG (Max),WIKA (30311),
6743-2-MX-7,-17.0156,128.2175,15 Nov 2010,31 Jan 2017,MiG (Max),WIKA (31369),
6743-2-MX-8,-17.0156,128.2175,31 Jan 2017,12 Jul 2017,MiG (Max),WIKA (31356),
6743-3-MX-0,-17.01542,128.21744,12 Jul 2017,20 Jun 2018,MiG (Max),WIKA (31356),
6743-3-MX-1,-17.01542,128.21744,20 Jun 2018,01 Jun 2019,MiG (Max),WIKA (31369),
6743-3-MX-2,-17.01542,128.21744,01 Jun 2019,Still active*,MiG (Max),WIKA (31335),

6743-0-DX-0,-17.0164,128.2164,08 Jul 1960,14 Jul 1997,DB: MiG,Dobbie (CBM4234),
6743-1-DX-0,-17.0153,128.2172,14 Jul 1997,20 Jul 2001,DB: MiG,Dobbie (CBM4234),
6743-2-DX-0,-17.0156,128.2175,20 Jul 2001,03 Sep 2002,DB: MiG,Dobbie (CBM4234),
6743-2-DX-1,-17.0156,128.2175,03 Sep 2002,12 Jul 2017,DB: MiG,Dobbie (CBM4234),
6743-3-DX-0,-17.01542,128.21744,12 Jul 2017,Still active*,DB: MiG,Dobbie (CBM4234),

002038: Kununurra,-15.7828,128.7353,Jan 1965,Mar 1986
6740-17-AX-0,-15.7828,128.7353,01 Sep 1962,09 Mar 1986,AiG (Min),Unknown (Unknown),

6740-17-MX-0,-15.7828,128.7353,01 Sep 1962,09 Mar 1986,MiG (Max),Unknown (Unknown),

6740-17-DX-0,-15.7828,128.7353,01 Sep 1962,09 Mar 1986,DB: MiG,Unknown (Unknown),

002056: Kununurra Aero,-15.7814,128.7100,Mar 1986,May 2019
6740-18-AX-0,-15.7828,128.7086,21 Sep 1971,20 Feb 1992,AiG (Min),Unknown (Unknown),

6740-18-MX-0,-15.7828,128.7086,21 Sep 1971,20 Feb 1992,MiG (Max),Unknown (Unknown),

6740-18-PX-0,-15.7828,128.7086,30 Jan 1992,10 Jul 1997,Probe,Rosemount (FP20001122),
6740-19-PX-0,-15.7814,128.71,10 Jul 1997,19 Nov 2011,Probe,Rosemount (FP20001122),
6740-19-PX-1,-15.7814,128.71,19 Nov 2011,Still active*,Probe,Temp Control TCBMP01 (10333),

6740-18-DX-0,-15.7828,128.7086,21 Sep 1971,20 Feb 1992,DB: MiG,Unknown (Unknown),

002064: Argyle Aerodrome,-16.6380,128.4516,Jun 1994,May 2019
6743-4-AX-0,-16.6394,128.4503,24 Jan 1986,13 Aug 1991,AiG (Min),Unknown (Unknown),
6743-5-AX-0,-16.6381,128.4517,13 Aug 1991,27 May 1994,AiG (Min),Unknown (Unknown),

6743-4-MX-0,-16.6394,128.4503,24 Jan 1986,13 Aug 1991,MiG (Max),Dobbie (Unknown),
6743-5-MX-0,-16.6381,128.4517,13 Aug 1991,27 May 1994,MiG (Max),Dobbie (Unknown),

6743-5-PX-0,-16.6381,128.4517,27 May 1994,21 Nov 2000,Probe,Unknown (FP20001120),
6743-5-PX-1,-16.6381,128.4517,22 Nov 2000,04 Sep 2002,Probe,Unknown (FP20001121),
6743-5-PX-2,-16.6381,128.4517,04 Sep 2002,18 Nov 2011,Probe,Unknown (FP20001121),
6743-5-PX-3,-16.6381,128.4517,18 Nov 2011,12 Jul 2017,Probe,Temp Control TCBMP01 (10269/1),
6743-6-PX-0,-16.638,128.45161,12 Jul 2017,Still active*,Probe,Temp Control TCBMP01 (10269/1),

6743-4-DX-0,-16.6394,128.4503,24 Jan 1986,13 Aug 1991,DB: MiG,Dobbie (15919),
6743-5-DX-0,-16.6381,128.4517,13 Aug 1991,04 Sep 2002,DB: MiG,Dobbie (15919),
6743-5-DX-1,-16.6381,128.4517,04 Sep 2002,12 Jul 2017,DB: MiG,Dobbie (15919),
6743-6-DX-0,-16.638,128.45161,12 Jul 2017,Still active*,DB: MiG,Dobbie (15919),

002071: Halls Creek Comparison (Old),-18.2303,127.6625,Aug 1996,Feb 2001
6770-0-AX-0,-18.2303,127.6625,25 Aug 1996,01 Mar 2001,AiG (Min),Dobbie (M1525),

6770-0-MX-0,-18.2303,127.6625,25 Aug 1996,11 Jul 2000,MiG (Max),Dobbie (M0572),
6770-0-MX-1,-18.2303,127.6625,11 Jul 2000,01 Mar 2001,MiG (Max),Dobbie (M0367),

6770-0-DX-0,-18.2303,127.6625,25 Aug 1996,01 Mar 2001,DB: MiG,Dobbie (M0698),

002079: Halls Creek Airport,-18.2337,127.6666,Sep 2015,May 2019
6770-3-PX-0,-18.2336,127.6667,07 Aug 2015,19 Jun 2018,Probe,WIKA TR40 (113069-24),
6770-4-PX-0,-18.23366,127.66664,19 Jun 2018,Still active*,Probe,WIKA TR40 (113069-24),

003002: Broome Post Office,-17.9500,122.2500,May 1894,Oct 1953
NO METADATA AVAILABLE

003003: Broome Airport,-17.9475,122.2352,Aug 1939,May 2019
6725-0-AS-0,-17.9492,122.2336,01 Aug 1939,10 Jul 2001,AiG (Min),Dobbie (19216),Small Stevenson
6725-0-AS-1,-17.9492,122.2336,10 Jul 2001,12 Sep 2002,AiG (Min),Dobbie (19235),Small Stevenson
6725-0-AS-2,-17.9492,122.2336,12 Sep 2002,15 Oct 2002,AiG (Min),Dobbie (20503),Small Stevenson
6725-0-AS-3,-17.9492,122.2336,15 Oct 2002,17 Jul 2003,AiG (Min),Dobbie (20672),Small Stevenson
6725-0-AS-4,-17.9492,122.2336,17 Jul 2003,17 Sep 2004,AiG (Min),Dobbie (20503),Small Stevenson
6725-0-AS-5,-17.9492,122.2336,17 Sep 2004,02 Sep 2005,AiG (Min),Dobbie (19235),Small Stevenson
6725-0-AS-6,-17.9492,122.2336,02 Sep 2005,19 Oct 2006,AiG (Min),Dobbie (20503),Small Stevenson
6725-1-AS-0,-17.9475,122.2353,19 Oct 2006,03 Sep 2012,AiG (Min),Dobbie (20503),Small Stevenson
6725-1-AS-1,-17.9475,122.2353,03 Sep 2012,02 May 2016,AiG (Min),Dobbie (CBM4956),Small Stevenson

6725-0-MS-0,-17.9492,122.2336,01 Aug 1939,19 Oct 2006,MiG (Max),Dobbie (19307),Small Stevenson
